label,scenario,model,mean_accuracy,acc_ci95_lo,acc_ci95_hi,mean_balanced_acc,mean_macro_f1,f1_ci95_lo,f1_ci95_hi,mean_weighted_f1,train_accuracy,overfit_gap,conf_mean,conf_pct_90,n_train,n_test,wtd_macro_f1,n_instances,benign_fpr,n_folds
stage_hint,Standard 80/20,RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.844,0.4762,80.0,21.0,,,,
stage_hint,Standard 80/20,ExtraTrees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8487,0.4286,80.0,21.0,,,,
stage_hint,Standard 80/20,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9998,1.0,80.0,21.0,,,,
stage_binary,Standard 80/20,ExtraTrees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9362,0.7619,80.0,21.0,,,,
stage_binary,Standard 80/20,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,-0.025,0.9378,0.8571,80.0,21.0,,,,
behavior_stage,Standard 80/20,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,80.0,21.0,,,,
stage_hint,LOIO,GradientBoosting,0.9856,0.9661,1.0051,0.9806,0.982,0.9576,1.0065,0.9841,,,,,,,0.9753,15.0,,
stage_hint,LOIO,LogisticRegression,0.9674,0.9374,0.9975,0.9718,0.9675,0.9364,0.9985,0.9681,,,,,,,0.9502,15.0,,
stage_binary,LOIO,XGBoost,0.9674,0.9374,0.9975,0.9611,0.961,0.9245,0.9976,0.9661,,,,,,,0.9407,15.0,,
stage_hint,LOIO,ExtraTrees,0.9729,0.9434,1.0024,0.9681,0.9583,0.9095,1.0071,0.9743,,,,,,,0.9428,15.0,,
stage_hint,LOIO,RandomForest,0.9735,0.9354,1.0116,0.9681,0.9573,0.9003,1.0144,0.9757,,,,,,,0.9402,15.0,,
stage_binary,LOIO,GradientBoosting,0.963,0.9289,0.9972,0.9571,0.9573,0.9175,0.9972,0.9618,,,,,,,0.9314,15.0,,
stage_binary,Standard 80/20,GradientBoosting,0.9524,0.8571,1.0,0.9643,0.9481,0.8152,1.0,0.9531,1.0,0.0476,1.0,1.0,80.0,21.0,,,,
stage_binary,LOIO,RandomForest,0.9745,0.9405,1.0086,0.97,0.9477,0.8711,1.0242,0.9792,,,,,,,0.9475,15.0,,
stage_binary,LOIO,LogisticRegression,0.9656,0.9336,0.9977,0.9506,0.9334,0.8577,1.0091,0.9698,,,,,,,0.9316,15.0,,
stage_binary,LOIO,ExtraTrees,0.9397,0.8924,0.987,0.9202,0.9244,0.8642,0.9845,0.9369,,,,,,,0.8887,15.0,,
behavior_stage,Standard 80/20,XGBoost,0.9524,0.8571,1.0,0.875,0.9048,0.6552,1.0,0.9456,0.975,0.0226,0.8039,0.4286,80.0,21.0,,,,
stage_binary,Standard 80/20,RandomForest,0.9048,0.7619,1.0,0.9286,0.899,0.7407,1.0,0.9071,1.0,0.0952,0.8856,0.7143,80.0,21.0,,,,
stage_binary,Standard 80/20,XGBoost,0.9048,0.7619,1.0,0.9286,0.899,0.7407,1.0,0.9071,1.0,0.0952,0.7554,0.2381,80.0,21.0,,,,
behavior_stage,Standard 80/20,LogisticRegression,0.9048,0.7619,1.0,0.95,0.8889,0.6956,1.0,0.9153,1.0,0.0952,0.9339,0.8095,80.0,21.0,,,,
behavior_stage,LOIO,XGBoost,0.9539,0.9119,0.9959,0.8972,0.883,0.7675,0.9984,0.9366,,,,,,,0.9078,15.0,,
behavior_stage,LOIO,GradientBoosting,0.9539,0.9119,0.9959,0.9326,0.883,0.7675,0.9984,0.9595,,,,,,,0.9078,15.0,,
stage_hint,LOIO,XGBoost,0.9299,0.8725,0.9873,0.9162,0.8772,0.7778,0.9765,0.9156,,,,,,,0.8064,15.0,,
stage_hint,Standard 80/20,LogisticRegression,0.9048,0.7619,1.0,0.8667,0.86,0.68,1.0,0.8905,0.9875,0.0827,0.9075,0.6667,80.0,21.0,,,,
behavior_stage,Standard 80/20,RandomForest,0.8571,0.7143,1.0,0.925,0.8559,0.6408,1.0,0.862,0.975,0.1179,0.9168,0.7143,80.0,21.0,,,,
behavior_stage,Standard 80/20,ExtraTrees,0.8571,0.7143,1.0,0.925,0.8487,0.6667,1.0,0.8752,0.9875,0.1304,0.8912,0.619,80.0,21.0,,,,
behavior_stage,LOIO,RandomForest,0.9212,0.8602,0.9822,0.8928,0.827,0.6881,0.966,0.928,,,,,,,0.861,15.0,,
behavior_stage,LOIO,ExtraTrees,0.9079,0.8593,0.9565,0.8544,0.7659,0.6276,0.9042,0.9087,,,,,,,0.8156,15.0,,
behavior_stage,LOIO,LogisticRegression,0.9006,0.85,0.9512,0.8643,0.756,0.6191,0.8928,0.9133,,,,,,,0.8135,15.0,,
stage_hint,Standard 80/20,XGBoost,0.9048,0.7619,1.0,0.8,0.7333,0.6,1.0,0.873,0.925,0.0202,0.7509,0.4286,80.0,21.0,,,,
behavior_stage,LOO,RandomForest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.86,1.0
behavior_stage,LOO,ExtraTrees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1.0,1.0
behavior_stage,LOO,XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1.0,1.0
behavior_stage,LOO,GradientBoosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.7,1.0
behavior_stage,LOO,LogisticRegression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.8,1.0
