model,mean_accuracy,std_accuracy,acc_ci95_lo,acc_ci95_hi,wtd_accuracy,mean_balanced_acc,mean_macro_f1,std_macro_f1,f1_ci95_lo,f1_ci95_hi,wtd_macro_f1,mean_weighted_f1,n_instances,Benign_macro_f1,Cerber_macro_f1
XGBoost,0.9674,0.0593,0.9374,0.9975,0.9505,0.9611,0.961,0.0722,0.9245,0.9976,0.9407,0.9661,15,1.0,0.8831
GradientBoosting,0.963,0.0675,0.9289,0.9972,0.9406,0.9571,0.9573,0.0788,0.9175,0.9972,0.9314,0.9618,15,1.0,0.8719
RandomForest,0.9745,0.0673,0.9405,1.0086,0.9703,0.97,0.9477,0.1512,0.8711,1.0242,0.9475,0.9792,15,0.9444,0.9542
LogisticRegression,0.9656,0.0633,0.9336,0.9977,0.9604,0.9506,0.9334,0.1495,0.8577,1.0091,0.9316,0.9698,15,0.9444,0.9114
ExtraTrees,0.9397,0.0935,0.8924,0.987,0.9109,0.9202,0.9244,0.1189,0.8642,0.9845,0.8887,0.9369,15,1.0,0.7731
